year,place,name,country,manufacturer,model
1979,1,Cyril Neveu,France,Yamaha,XT 500
1979,2,Gilles Comte,France,Yamaha,XT 500
1979,3,Philippe Vassard,France,Honda,XL 250
1980,1,Cyril Neveu,France,Yamaha,XT 500
1980,2,Michel Merel,France,Yamaha,XT 500
1980,3,Jean-Noël Pineau,France,Yamaha,XT 500
1981,1,Hubert Auriol,France,BMW,R80 G/S
1981,2,Serge Bacou,France,Yamaha,XT 500
1981,3,Michel Merel,France,Yamaha,XT 500
1982,1,Cyril Neveu,France,Honda,XR 550
1982,2,Philippe Vassard,France,Honda,XR 550
1982,3,Grégoire Verhaeghe,France,Barigo,500
1983,1,Hubert Auriol,France,BMW,R80 G/S
1983,2,Patrick Drobecq,France,Honda,XR 600
1983,3,Marc Joineau,France,Suzuki,DR 500
1984,1,Gaston Rahier,Belgium,BMW,R80 G/S
1984,2,Hubert Auriol,France,BMW,R80 G/S
1984,3,Philippe Vassard,France,Honda,XLR 600
1985,1,Gaston Rahier,Belgium,BMW,R80 G/S
1985,2,Jean-Claude Olivier,France,Yamaha,660 Proto
1985,3,Franco Picco,Italy,Yamaha,600 XT
1986,1,Cyril Neveu,France,Honda,NXR 780
1986,2,Gilles Lalay,France,Honda,NXR 780
1986,3,Andrea Balestrieri,Italy,Honda,XL 600
1987,1,Cyril Neveu,France,Honda,NXR 750
1987,2,Edi Orioli,Italy,Honda,XL 600
1987,3,Gaston Rahier,Belgium,BMW,R80 GS
1988,1,Edi Orioli,Italy,Honda,NXR 800V
1988,2,Franco Picco,Italy,Yamaha,YZE 750
1988,3,Gilles Lalay,France,Honda,NXR 750
1989,1,Gilles Lalay,France,Honda,NXR 800V
1989,2,Franco Picco,Italy,Yamaha,YZE 750
1989,3,Marc Morales,France,Honda,NXR 750
1990,1,Edi Orioli,Italy,Cagiva,Elefant 900
1990,2,Carles Mas,Spain,Yamaha,YZE 750
1990,3,Alessandro De Petri,Italy,Cagiva,Elefant 900
1991,1,Stéphane Peterhansel,France,Yamaha,YZE 750T
1991,2,Gilles Lalay,France,Yamaha,YZE 750T
1991,3,Thierry Magnaldi,France,Yamaha,YZE 750T
1992,1,Stéphane Peterhansel,France,Yamaha,YZE 850T
1992,2,Danny LaPorte,United States,Cagiva,Elefant 900
1992,3,Jordi Arcarons,Spain,Cagiva,Elefant 900
1993,1,Stéphane Peterhansel,France,Yamaha,YZE 850T
1993,2,Thierry Charbonnier,France,Yamaha,YZE 850T
1993,3,Jordi Arcarons,Spain,Yamaha,YZE 850T
1994,1,Edi Orioli,Italy,Cagiva,Elefant 900
1994,2,Jordi Arcarons,Spain,Cagiva,Elefant 900
1994,3,Fabrizio Meoni,Italy,Honda,EXP-2
1995,1,Stéphane Peterhansel,France,Yamaha,YZE 850T
1995,2,Jordi Arcarons,Spain,Cagiva,Elefant 900
1995,3,Edi Orioli,Italy,Cagiva,Elefant 900
1996,1,Edi Orioli,Italy,Yamaha,YZE 850T
1996,2,Jordi Arcarons,Spain,KTM,LC4
1996,3,Carlos Sotelo,Spain,KTM,LC4
1997,1,Stéphane Peterhansel,France,Yamaha,YZE 850T
1997,2,Oscar Gallardo,Spain,Cagiva,Elefant 900
1997,3,David Castera,France,Yamaha,YZE 850T
1998,1,Stéphane Peterhansel,France,Yamaha,YZE 850T
1998,2,Fabrizio Meoni,Italy,KTM,LC4
1998,3,Andrew Haydon,Australia,KTM,LC4
1999,1,Richard Sainct,France,BMW,F650 RR
1999,2,Thierry Magnaldi,France,KTM,LC4
1999,3,Alfie Cox,South Africa,KTM,LC4
2000,1,Richard Sainct,France,BMW,F650 RR
2000,2,Oscar Gallardo,Spain,BMW,F650 RR
2000,3,Jimmy Lewis,United States,BMW,R900 GS
2001,1,Fabrizio Meoni,Italy,KTM,LC4 660R
2001,2,Jordi Arcarons,Spain,KTM,LC4 660R
2001,3,Carlo de Gavardo,Chile,KTM,LC4 660R
2002,1,Fabrizio Meoni,Italy,KTM,LC8 950R
2002,2,Alfie Cox,South Africa,KTM,LC4 660R
2002,3,Richard Sainct,France,KTM,LC4 660R
2003,1,Richard Sainct,France,KTM,LC4 660R
2003,2,Cyril Despres,France,KTM,LC4 660R
2003,3,Fabrizio Meoni,Italy,KTM,LC8 950R
2004,1,Nani Roma,Spain,KTM,LC4 660R
2004,2,Richard Sainct,France,KTM,LC4 660R
2004,3,Cyril Despres,France,KTM,LC4 660R
2005,1,Cyril Despres,France,KTM,LC4 660R
2005,2,Marc Coma,Spain,KTM,LC4 660R
2005,3,Alfie Cox,South Africa,KTM,LC4 660R
2006,1,Marc Coma,Spain,KTM,LC4 660R
2006,2,Cyril Despres,France,KTM,LC4 660R
2006,3,Giovanni Sala,Italy,KTM,LC4 660R
2007,1,Cyril Despres,France,KTM,690 Rally
2007,2,David Casteu,France,KTM,690 Rally
2007,3,Chris Blais,United States,KTM,660 Rally
2009,1,Marc Coma,Spain,KTM,690 Rally
2009,2,Cyril Despres,France,KTM,690 Rally
2009,3,David Frétigné,France,Yamaha,WR 450
2010,1,Cyril Despres,France,KTM,690 Rally
2010,2,Pål Anders Ullevålseter,Norway,KTM,690 Rally
2010,3,Francisco López,Chile,Aprilia,RXV 450
2011,1,Marc Coma,Spain,KTM,450 Rally
2011,2,Cyril Despres,France,KTM,450 Rally
2011,3,Hélder Rodrigues,Portugal,Yamaha,WR 450F
2012,1,Cyril Despres,France,KTM,450 Rally
2012,2,Marc Coma,Spain,KTM,450 Rally
2012,3,Hélder Rodrigues,Portugal,Yamaha,WR 450F
2013,1,Cyril Despres,France,KTM,450 Rally
2013,2,Ruben Faria,Portugal,KTM,450 Rally
2013,3,Francisco López,Chile,KTM,450 Rally
2014,1,Marc Coma,Spain,KTM,450 Rally
2014,2,Jordi Viladoms,Spain,KTM,450 Rally
2014,3,Olivier Pain,France,Yamaha,WR 450F
2015,1,Marc Coma,Spain,KTM,450 Rally
2015,2,Paulo Gonçalves,Portugal,Honda,CRF 450 Rally
2015,3,Toby Price,Australia,KTM,450 Rally
2016,1,Toby Price,Australia,KTM,450 Rally
2016,2,Štefan Svitko,Slovakia,KTM,450 Rally
2016,3,Pablo Quintanilla,Chile,Husqvarna,450 Rally
2017,1,Sam Sunderland,United Kingdom,KTM,450 Rally
2017,2,Matthias Walkner,Austria,KTM,450 Rally
2017,3,Gerard Farrés,Spain,KTM,450 Rally
2018,1,Matthias Walkner,Austria,KTM,450 Rally
2018,2,Kevin Benavides,Argentina,Honda,CRF 450 Rally
2018,3,Toby Price,Australia,KTM,450 Rally
2019,1,Toby Price,Australia,KTM,450 Rally
2019,2,Matthias Walkner,Austria,KTM,450 Rally
2019,3,Sam Sunderland,United Kingdom,KTM,450 Rally
2020,1,Ricky Brabec,United States,Honda,CRF 450 Rally
2020,2,Pablo Quintanilla,Chile,Husqvarna,450 Rally
2020,3,Toby Price,Australia,KTM,450 Rally
2021,1,Kevin Benavides,Argentina,Honda,CRF 450 Rally
2021,2,Ricky Brabec,United States,Honda,CRF 450 Rally
2021,3,Sam Sunderland,United Kingdom,KTM,450 Rally
2022,1,Sam Sunderland,United Kingdom,Gas Gas,450 Rally
2022,2,Pablo Quintanilla,Chile,Honda,CRF 450 Rally
2022,3,Matthias Walkner,Austria,KTM,450 Rally
2023,1,Kevin Benavides,Argentina,KTM,450 Rally
2023,2,Toby Price,Australia,KTM,450 Rally
2023,3,Skyler Howes,United States,Husqvarna,450 Rally
2024,1,Ricky Brabec,United States,Honda,CRF 450 Rally
2024,2,Ross Branch,Botswana,Hero,450 Rally
2024,3,Adrien Van Beveren,France,Honda,CRF 450 Rally
